LASTNAME, FIRSTNAME, TITLE
GAYLE,CHRIS,CUST SERVICE REP.
McGREGOR,CONNORS,CUSTOMER SERVICE REPRESENTATIVE
DIAZ,NATE,SHIFT LEAD
DIAZ,NICK,REGION MANAGER
OWENS,BENJAMIN, ASSISTANT MANAGER
SCOTT,MICHAEL,REGIONAL MANAGER
HALPERT,JIM,STORE MGR.
FOSTER,DERRICK,CUSTOMER SERVICE REP
SCHRUTE,DWIGHT,CUSTOMER SERVICE REPRESENTATIVE
PAIGE,CARRINGTON,STORE MANAGER
SCHACHT,BRADLEY,DISTRICT MANAGER
BEESLY,PAM,ASSIST. MANAGER
LANDEN,COLLIN,CUSTOMER SERVICE REPRESENTATIVE
SHOWALTER,CHRISTOPHER,SHIFT LEADER
MCNAMARA,SEAN,REGIONAL MANAGER
COLBERT,STEPHEN,STORE MANAGER
RYAN,DUSTIN,DISTRICT MGR.
TROY,CHRISTIAN,REGIONAL MGR
ISHEE,SAM,SHIFT LEADER
WOOD,JOHN,CUSTOMER SERVICE REP
ENGLE,DANIEL,ASSISTANT MANAGER
STEWART,JOHN, DISTRICT MANAGER
